td,jogos,vitorias,win_rate_pct,pts_medio,ast_medio,trb_medio
Com Triplo-Duplo,27,18.0,66.7,28.5,12.3,15.0
Sem Triplo-Duplo,75,51.0,68.0,26.1,7.7,11.7
