season_type,jogos,vitorias,win_rate_pct,jokic_pts,jokic_ast,jokic_trb,plus_minus,ortg,drtg,off_efg_pct
Playoffs,20,16.0,80.0,28.0,8.8,13.3,4.2,1195.7,1001.2,32.9752
Regular,82,53.0,64.6,26.4,9.0,12.4,8.7,663.0,583.1,56.6032
