resultado,ortg,drtg,off_efg_pct,def_efg_pct,taxa_3pts,jokic_pts,jokic_pm,pct_triplo_duplo
Vitória,828.6,661.1,67.2018,9.5695,0.359,26.6,7.7,26.1
Derrota,639.6,673.4,20.1225,21.0116,0.3576,26.9,8.0,27.3
