game_num,season_type,opponent,home_away,win,team_pts,opp_pts,point_diff,wins,losses,ortg,drtg,pace,ts_pct,off_efg_pct,off_tov_pct,off_orb_pct,def_efg_pct,def_tov_pct,ftr,3par,team_ast_pct,team_trb_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_efg_pct,jokic_fg_pct,jokic_3p_pct,jokic_ft_pct,jokic_fga,jokic_fg,jokic_mp,jokic_gmsc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
9,Playoffs,Phoenix Suns,Away,0,124,129,-5,6,3,1322.0,1375.0,938.0,626.0,0.601,8.3,286.0,0.648,12.2,0.258,0.247,560.0,464.0,35.0,7.0,7.0,4.0,3.0,0.596,0.577,0.2,667.0,26.0,15.0,39.07,279.0,3.0,1.0,4.0,1.0,5.0,0
10,Playoffs,Phoenix Suns,Home,1,118,102,16,7,3,1214.0,1049.0,972.0,0.606,0.571,9.3,227.0,0.483,9.2,0.329,0.318,762.0,543.0,40.0,13.0,7.0,0.0,21.0,0.727,0.682,667.0,889.0,22.0,15.0,41.1,433.0,2.0,1.0,2.0,2.0,3.0,0
11,Playoffs,Phoenix Suns,Away,1,125,100,25,8,3,1278.0,1023.0,978.0,0.653,0.585,10.3,206.0,0.551,13.8,0.378,0.268,545.0,586.0,22.0,2.0,9.0,3.0,-25.0,0.474,0.474,0.0,1.0,19.0,9.0,35.75,15.0,0.0,0.0,1.0,0.0,4.0,0
12,Playoffs,Los Angeles Lakers,Home,1,132,126,6,9,3,1388.0,1325.0,951.0,656.0,0.632,98.0,375.0,0.613,68.0,0.242,0.352,580.0,610.0,34.0,7.0,19.0,3.0,-9.0,0.5,0.464,0.2,857.0,28.0,13.0,46.6,29.1,0.0,1.0,2.0,2.0,10.0,0
13,Playoffs,Los Angeles Lakers,Home,1,108,103,5,10,3,1078.0,1028.0,1002.0,0.557,0.517,149.0,234.0,0.488,11.4,0.202,0.427,692.0,55.1,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
14,Playoffs,Los Angeles Lakers,Away,1,119,108,11,11,3,1245.0,1130.0,956.0,0.617,0.597,5.9,128.0,0.512,11.0,0.216,0.466,682.0,464.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
15,Playoffs,Los Angeles Lakers,Away,1,113,111,2,12,3,1229.0,1207.0,920.0,0.597,0.553,10.4,268.0,0.512,58.0,0.259,0.388,610.0,513.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
16,Playoffs,Miami Heat,Home,1,104,93,11,13,3,1144.0,1023.0,909.0,0.592,0.557,10.2,158.0,0.474,7.6,0.253,0.342,725.0,51.1,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
17,Playoffs,Miami Heat,Home,0,108,111,-3,13,4,1236.0,1271.0,874.0,0.638,0.593,14.2,28.1,0.596,11.2,0.293,0.373,590.0,55.1,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
18,Playoffs,Miami Heat,Away,1,109,94,15,14,4,1197.0,1033.0,910.0,0.593,0.544,13.2,36.1,0.429,38.0,0.338,0.225,683.0,637.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
19,Playoffs,Miami Heat,Away,1,108,95,13,15,4,1199.0,1055.0,901.0,0.612,0.582,8.3,147.0,0.5,147.0,0.266,0.354,667.0,479.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
20,Playoffs,Miami Heat,Home,1,94,89,5,16,4,973.0,921.0,966.0,0.499,0.482,13.7,250.0,0.391,7.2,0.274,0.333,553.0,564.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0

