game_num,season_type,opponent,home_away,win,team_pts,opp_pts,point_diff,wins,losses,ortg,drtg,pace,ts_pct,off_efg_pct,off_tov_pct,off_orb_pct,def_efg_pct,def_tov_pct,ftr,3par,team_ast_pct,team_trb_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_efg_pct,jokic_fg_pct,jokic_3p_pct,jokic_ft_pct,jokic_fga,jokic_fg,jokic_mp,jokic_gmsc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
33,Regular,Sacramento Kings,Away,1,113,106,7,22,11,1178.0,1105.0,959.0,0.593,0.552,12.0,244.0,0.549,15.0,0.244,0.43,829.0,506.0,26.0,10.0,14.0,3.0,25.0,1045.0,1.0,1.0,1.0,11.0,11.0,29.97,319.0,0.0,2.0,1.0,1.0,1.0,1
34,Regular,Sacramento Kings,Away,0,126,127,-1,22,12,1278.0,1288.0,986.0,0.678,647.0,147.0,23.3,0.607,10.7,0.212,0.318,633.0,500.0,19.0,7.0,10.0,7.0,-19.0,0.95,0.9,1.0,1.0,10.0,9.0,31.53,18.2,1.0,1.0,2.0,1.0,1.0,0
35,Regular,Miami Heat,Home,1,124,119,5,23,12,1241.0,119.1,999.0,0.724,0.704,189.0,167.0,0.529,13.0,0.289,0.368,756.0,500.0,13.0,6.0,11.0,3.0,27.0,857.0,857.0,0.333,1.0,7.0,6.0,27.5,159.0,1.0,1.0,2.0,0.0,0.0,0
36,Regular,Boston Celtics,Home,1,123,111,12,24,12,122.1,1102.0,1007.0,0.708,677.0,164.0,3.1,0.511,11.6,0.228,0.38,689.0,46.1,34.0,10.0,9.0,4.0,4.0,875.0,813.0,1.0,857.0,16.0,13.0,38.42,360.0,2.0,1.0,2.0,2.0,2.0,0
37,Regular,Minnesota Timberwolves,Away,0,111,124,-13,24,13,1162.0,1298.0,956.0,0.556,0.522,13.1,375.0,0.592,10.8,0.22,0.319,643.0,523.0,29.0,8.0,4.0,2.0,-4.0,0.684,0.684,0.0,0.75,19.0,13.0,36.85,27.1,3.0,0.0,3.0,0.0,1.0,0
38,Regular,Los Angeles Clippers,Home,1,122,91,31,25,13,1229.0,917.0,993.0,0.621,0.584,10.9,23.3,0.401,7.3,0.236,0.404,622.0,582.0,4.0,16.0,7.0,2.0,16.0,667.0,667.0,0.333,1.0,3.0,2.0,24.62,159.0,0.0,5.0,4.0,0.0,0.0,0
39,Regular,Cleveland Cavaliers,Home,1,121,108,13,26,13,1346.0,1201.0,899.0,0.664,636.0,13.3,37.1,0.511,6.4,0.284,0.432,65.1,55.1,27.0,6.0,11.0,6.0,-21.0,944.0,889.0,1.0,833.0,9.0,8.0,30.47,248.0,1.0,0.0,3.0,1.0,1.0,0
40,Regular,Los Angeles Lakers,Home,1,122,109,13,27,13,1156.0,1033.0,1056.0,0.573,0.54,13.8,298.0,0.484,11.9,0.172,0.424,630.0,556.0,27.0,14.0,10.0,2.0,12.0,676.0,647.0,0.5,1.0,17.0,11.0,32.18,306.0,0.0,1.0,4.0,1.0,2.0,1
41,Regular,Phoenix Suns,Home,1,126,97,29,28,13,1296.0,997.0,973.0,669.0,0.653,105.0,194.0,0.483,17.2,0.247,0.4,625.0,463.0,25.0,9.0,12.0,7.0,10.0,923.0,923.0,0.333,0.5,13.0,12.0,33.08,259.0,2.0,1.0,3.0,0.0,0.0,0
42,Regular,Los Angeles Clippers,Away,1,115,103,12,29,13,1244.0,1114.0,924.0,0.618,0.585,10.6,238.0,0.529,11.4,0.305,0.402,585.0,500.0,25.0,3.0,19.0,4.0,1.0,0.55,0.55,0.0,0.75,20.0,11.0,38.0,237.0,1.0,1.0,3.0,0.0,2.0,0
43,Regular,Orlando Magic,Home,1,119,116,3,30,13,1199.0,1168.0,993.0,0.611,0.612,14.1,293.0,0.53,11.6,0.213,0.438,667.0,513.0,34.0,9.0,12.0,4.0,1.0,0.682,636.0,0.5,1.0,22.0,14.0,38.27,305.0,0.0,0.0,1.0,2.0,4.0,0
44,Regular,Portland Trail Blazers,Home,1,122,113,9,31,13,1233.0,1142.0,989.0,0.608,0.563,10.7,26.8,0.536,12.1,0.318,0.364,72.7,54.5,42.0,8.0,12.0,0.0,20.0,0.75,0.75,0.333,857.0,20.0,15.0,36.08,466.0,2.0,2.0,2.0,0.0,0.0,0
45,Regular,Minnesota Timberwolves,Home,1,122,118,4,32,13,121.3,117.3,100.6,0.616,0.576,13.9,25.0,0.593,16.9,0.376,0.247,60.0,48.6,31.0,10.0,13.0,1.0,9.0,763.0,0.684,0.75,1.0,19.0,13.0,37.02,33.1,0.0,1.0,3.0,3.0,4.0,1
46,Regular,Indiana Pacers,Home,1,134,111,23,33,13,133.8,110.8,100.2,0.709,0.699,16.0,34.3,0.488,17.3,0.313,0.337,74.5,49.4,31.0,3.0,11.0,7.0,-23.0,0.778,0.722,667.0,1.0,18.0,13.0,27.48,23.2,0.0,0.0,1.0,2.0,3.0,0
47,Regular,Oklahoma City Thunder,Home,0,99,101,-2,33,14,109.4,111.6,90.5,0.513,0.5,8.5,21.7,0.489,7.7,0.402,0.341,61.1,45.7,26.0,7.0,16.0,3.0,2.0,0.5,0.5,0.0,625.0,16.0,8.0,36.67,25.1,2.0,0.0,3.0,0.0,1.0,0
48,Regular,Pelicanos de Nova Orleans,Away,1,99,98,1,34,14,109.7,108.6,90.2,0.577,0.556,12.3,19.4,0.476,14.6,0.163,0.413,69.2,44.2,25.0,12.0,16.0,3.0,9.0,0.42,0.4,0.167,0.8,25.0,10.0,39.52,257.0,3.0,2.0,1.0,1.0,6.0,1
49,Regular,Milwaukee Bucks,Away,0,99,107,-8,34,15,93.9,101.5,105.4,0.476,0.448,15.4,26.3,0.558,20.3,0.165,0.351,55.3,51.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
50,Regular,Philadelphia 76ers,Away,0,119,126,-7,34,16,123.8,131.1,96.1,0.663,0.63,13.5,18.2,0.618,9.9,0.247,0.42,63.6,48.0,27.0,12.0,22.0,4.0,20.0,0.719,0.688,1.0,1.0,16.0,11.0,38.27,352.0,1.0,2.0,3.0,1.0,1.0,1
51,Regular,Pelicanos de Nova Orleans,Home,1,122,113,9,35,16,119.9,111.1,101.7,0.625,0.586,15.6,26.3,0.541,13.5,0.276,0.414,76.7,55.0,29.0,7.0,8.0,2.0,-5.0,625.0,0.6,0.333,0.8,20.0,12.0,34.23,267.0,2.0,0.0,1.0,1.0,3.0,0
52,Regular,Golden State Warriors,Home,1,134,117,17,36,16,132.3,115.5,101.3,0.675,0.656,11.6,17.9,0.618,15.4,0.233,0.389,68.6,47.5,24.0,9.0,13.0,6.0,10.0,0.5,0.45,0.333,1.0,20.0,9.0,36.38,20.3,0.0,3.0,2.0,2.0,6.0,0
53,Regular,Atlanta Hawks,Home,1,128,108,20,37,16,124.6,105.1,102.7,0.617,0.584,11.1,26.7,0.516,14.0,0.211,0.4,66.7,52.7,23.0,7.0,8.0,1.0,-7.0,0.559,0.529,1.0,0.8,17.0,9.0,29.75,236.0,3.0,0.0,2.0,1.0,1.0,0
54,Regular,Minnesota Timberwolves,Away,0,98,128,-30,37,17,95.0,124.1,103.2,0.579,0.521,20.6,9.4,0.609,9.9,0.437,0.352,55.9,52.1,29.0,8.0,12.0,5.0,-16.0,0.56,0.52,0.4,0.333,25.0,13.0,31.52,209.0,0.0,0.0,1.0,2.0,5.0,0
