game_num,opponent,home_away,team_pts,opp_pts,wins,losses,win,point_diff,season_type,ORtg,DRtg,Pace,TS_pct,off_eFG_pct,off_TOV_pct,off_ORB_pct,def_eFG_pct,def_TOV_pct,FTr,3PAr,team_AST_pct,team_TRB_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_eFG_pct,jokic_FG_pct,jokic_3P_pct,jokic_FT_pct,jokic_FGA,jokic_FG,jokic_mp,jokic_GmSc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
1,Utah Jazz,Away,102,123,0,1,0,-21,Regular,1009.0,1216.0,101.1,0.561,0.512,188.0,238.0,0.602,17.1,0.217,0.265,525.0,449.0,29.0,11.0,13.0,2.0,15.0,0.614,0.545,0.6,0.5,22.0,12.0,36:16,293.0,1.0,1.0,2.0,3.0,5.0,1.0
2,Golden State Warriors,Away,128,123,1,1,1,5,Regular,121.1,1164.0,1057.0,0.66,0.622,17.1,300.0,0.563,16.0,0.291,0.395,652.0,539.0,22.0,7.0,12.0,9.0,6.0,0.607,0.571,0.25,833.0,14.0,8.0,34:58,17.0,1.0,1.0,1.0,1.0,4.0,0.0
3,Oklahoma City Thunder,Home,122,117,2,1,1,5,Regular,1158.0,111.0,1054.0,0.618,0.612,154.0,196.0,0.527,11.1,0.365,0.447,786.0,495.0,28.0,5.0,14.0,4.0,21.0,0.781,0.75,0.5,1.0,16.0,12.0,29:52,249.0,0.0,0.0,3.0,1.0,2.0,0.0
4,Portland Trail Blazers,Away,110,135,2,2,0,-25,Regular,1157.0,1420.0,951.0,0.566,0.56,7.6,217.0,675.0,94.0,0.154,0.341,622.0,458.0,27.0,11.0,10.0,1.0,13.0,0.781,0.75,0.333,0.4,16.0,12.0,35:14,297.0,0.0,2.0,3.0,1.0,3.0,1.0
5,Los Angeles Lakers,Home,110,99,3,2,1,11,Regular,1074.0,967.0,1024.0,0.543,0.505,98.0,184.0,0.489,12.6,0.228,0.37,810.0,535.0,25.0,3.0,10.0,5.0,-19.0,0.5,0.478,0.167,1.0,23.0,11.0,29:58,14.2,0.0,0.0,0.0,1.0,6.0,0.0
6,Utah Jazz,Home,117,101,4,2,1,16,Regular,1218.0,105.1,961.0,0.585,0.559,10.7,36.2,0.473,9.1,0.4,0.435,462.0,604.0,33.0,9.0,14.0,4.0,17.0,938.0,875.0,1.0,0.6,16.0,14.0,35:35,364.0,1.0,1.0,3.0,2.0,2.0,0.0
7,Los Angeles Lakers,Away,110,121,4,3,0,-11,Regular,1124.0,1237.0,979.0,0.529,0.505,8.0,255.0,0.547,79.0,0.188,0.417,585.0,485.0,28.0,9.0,16.0,1.0,33.0,0.594,0.563,0.333,1.0,16.0,9.0,33:21,339.0,3.0,0.0,3.0,1.0,3.0,0.0
8,Oklahoma City Thunder,Away,122,110,5,3,1,12,Regular,1210.0,109.1,1009.0,0.67,0.643,18.0,21.1,0.516,9.0,0.19,0.369,71.1,540.0,35.0,12.0,14.0,2.0,16.0,667.0,625.0,0.333,0.6,24.0,15.0,36:22,365.0,1.0,1.0,1.0,2.0,6.0,1.0
9,San Antonio Spurs,Home,126,101,6,3,1,25,Regular,1298.0,104.1,971.0,0.689,695.0,165.0,313.0,0.563,145.0,0.115,0.333,698.0,627.0,35.0,5.0,13.0,3.0,3.0,0.58,0.56,0.125,0.6,25.0,14.0,36:36,296.0,3.0,1.0,3.0,1.0,8.0,0.0
10,San Antonio Spurs,Away,115,109,7,3,1,6,Regular,1087.0,103.1,1058.0,0.594,0.58,185.0,22.2,0.598,21.1,0.227,0.273,702.0,513.0,36.0,11.0,21.0,3.0,12.0,0.538,0.5,0.333,1.0,26.0,13.0,38:14,359.0,0.0,1.0,3.0,2.0,6.0,1.0
11,Indiana Pacers,Away,122,119,8,3,1,3,Regular,1123.0,1096.0,1086.0,0.613,0.557,18.1,250.0,0.542,147.0,0.295,0.318,628.0,516.0,32.0,9.0,16.0,4.0,3.0,0.391,0.348,0.286,1.0,23.0,8.0,35:45,276.0,1.0,0.0,2.0,2.0,7.0,0.0
12,Boston Celtics,Away,112,131,8,4,0,-19,Regular,1198.0,1402.0,935.0,0.556,0.522,5.6,234.0,0.644,6.6,0.217,0.315,619.0,452.0,26.0,18.0,16.0,4.0,5.0,0.525,0.5,0.125,1.0,20.0,10.0,36:10,31.1,1.0,1.0,2.0,1.0,8.0,1.0
13,Chicago Bulls,Away,126,103,9,4,1,23,Regular,1269.0,1037.0,993.0,0.706,0.681,15.2,15.2,0.531,174.0,0.263,0.338,688.0,500.0,18.0,7.0,10.0,3.0,-16.0,0.615,0.615,,0.4,13.0,8.0,27:49,159.0,1.0,1.0,5.0,0.0,0.0,0.0
14,New York Knicks,Home,103,106,9,5,0,-3,Regular,1070.0,110.1,962.0,0.567,0.524,14.2,19.0,0.488,7.6,0.244,0.463,500.0,512.0,9.0,5.0,5.0,1.0,-4.0,0.563,0.5,0.25,,8.0,4.0,15:13,9.3,0.0,1.0,1.0,1.0,4.0,0.0
15,Dallas Mavericks,Away,99,127,9,6,0,-28,Regular,1057.0,1356.0,937.0,0.506,0.478,11.7,255.0,0.682,10.1,0.2,0.333,632.0,450.0,30.0,12.0,13.0,1.0,4.0,0.694,667.0,0.5,1.0,18.0,12.0,36:20,383.0,3.0,2.0,4.0,1.0,2.0,1.0
16,Dallas Mavericks,Away,98,97,10,6,1,1,Regular,1032.0,1022.0,949.0,0.567,0.532,156.0,11.8,0.545,13.0,0.244,0.346,595.0,550.0,38.0,8.0,19.0,3.0,-12.0,0.5,0.452,0.375,636.0,31.0,14.0,42:09,328.0,3.0,0.0,3.0,3.0,8.0,0.0
17,Detroit Pistons,Home,108,110,10,7,0,-2,Regular,1115.0,1135.0,969.0,0.554,0.529,156.0,349.0,0.557,145.0,0.302,0.221,65.1,512.0,39.0,9.0,11.0,5.0,14.0,0.586,0.586,,1.0,29.0,17.0,34:12,319.0,1.0,0.0,3.0,0.0,0.0,0.0
18,Oklahoma City Thunder,Away,131,126,11,7,1,5,Regular,1257.0,1209.0,944.0,0.618,0.557,15.2,386.0,0.526,8.4,0.466,0.432,738.0,585.0,,,,,,,,,,,,Inativo,,,,,,,0.0
19,Los Angeles Clippers,Away,114,104,12,7,1,10,Regular,1245.0,1136.0,916.0,0.575,0.551,5.7,256.0,625.0,14.4,0.258,0.337,614.0,529.0,32.0,15.0,10.0,0.0,29.0,0.658,0.632,0.5,875.0,19.0,12.0,33:21,392.0,1.0,0.0,2.0,1.0,2.0,1.0
20,Houston Rockets,Home,129,113,13,7,1,16,Regular,1330.0,1165.0,970.0,666.0,636.0,12.6,34.2,0.553,15.0,0.227,0.341,620.0,538.0,21.0,16.0,5.0,3.0,6.0,0.5,0.5,0.0,0.5,18.0,9.0,34:55,217.0,1.0,2.0,4.0,0.0,3.0,0.0
21,Houston Rockets,Home,120,100,14,7,1,20,Regular,1258.0,1048.0,954.0,0.654,633.0,11.6,216.0,0.489,12.7,0.241,0.386,682.0,519.0,36.0,14.0,13.0,0.0,11.0,0.587,0.565,0.25,0.75,23.0,13.0,38:10,399.0,2.0,1.0,3.0,1.0,4.0,1.0
22,Atlanta Hawks,Away,109,117,14,8,0,-8,Regular,1158.0,1243.0,941.0,0.601,0.6,15.0,225.0,0.614,11.3,0.153,0.376,689.0,434.0,22.0,10.0,15.0,4.0,1.0,0.313,0.281,0.286,1.0,32.0,9.0,37:07,129.0,1.0,0.0,2.0,2.0,7.0,1.0
23,Pelicanos de Nova Orleans,Away,106,121,14,9,0,-15,Regular,1062.0,1212.0,999.0,0.579,0.556,17.2,23.1,0.574,10.2,0.296,0.383,585.0,544.0,23.0,5.0,16.0,3.0,3.0,0.365,0.346,0.5,0.571,26.0,9.0,34:22,147.0,0.0,2.0,5.0,1.0,2.0,0.0
24,Dallas Mavericks,Home,115,116,14,10,0,-1,Regular,1183.0,1193.0,972.0,0.637,0.596,158.0,205.0,0.618,166.0,0.359,0.41,750.0,507.0,25.0,9.0,8.0,1.0,8.0,0.731,0.692,1.0,857.0,13.0,9.0,36:01,308.0,3.0,2.0,3.0,1.0,1.0,0.0
25,Portland Trail Blazers,Away,121,120,15,10,1,1,Regular,1252.0,1242.0,966.0,0.601,0.582,13.7,390.0,0.571,11.7,0.242,0.33,596.0,558.0,4.0,6.0,9.0,0.0,5.0,0.4,0.4,,,5.0,2.0,16:24,9.0,0.0,0.0,1.0,0.0,0.0,0.0
26,Utah Jazz,Home,115,110,16,10,1,5,Regular,1206.0,1153.0,954.0,0.618,0.593,88.0,158.0,0.547,129.0,0.186,0.302,596.0,48.1,26.0,10.0,14.0,1.0,21.0,667.0,667.0,0.0,833.0,12.0,8.0,29:49,308.0,1.0,0.0,2.0,0.0,2.0,1.0
27,Washington Wizards,Home,141,128,17,10,1,13,Regular,1295.0,1176.0,1089.0,716.0,675.0,16.2,259.0,0.632,12.2,0.422,0.193,574.0,652.0,24.0,12.0,6.0,3.0,-9.0,0.567,0.533,0.5,875.0,15.0,8.0,37:25,259.0,2.0,0.0,3.0,1.0,2.0,0.0
28,Los Angeles Lakers,Away,108,126,17,11,0,-18,Regular,1053.0,1229.0,1025.0,0.579,0.537,169.0,209.0,0.593,129.0,0.346,0.333,64.1,464.0,8.0,7.0,9.0,2.0,16.0,0.375,0.375,0.0,1.0,8.0,3.0,27:50,10.8,2.0,0.0,2.0,0.0,1.0,0.0
29,Charlotte Hornets,Home,119,115,18,11,1,4,Regular,1143.0,1105.0,104.1,0.546,0.516,11.4,294.0,0.49,94.0,0.362,0.351,767.0,534.0,31.0,6.0,15.0,2.0,15.0,0.63,0.565,0.6,667.0,23.0,13.0,38:06,29.0,0.0,2.0,2.0,3.0,5.0,0.0
